text,label
At this point just play something else. The game it's full with veterans and you have no chance to get good at it. Don't waste ur time installing it.,0
good gaem and  ez thanck,1
"This damn thing opens an additional launcher? Since when? Have they been getting a pass on it all this time? Also, I had to tell it no less than three times to shove their newsletters and data collecting stuff where the sun don't shine before I even got to the game. I may update at some point with more thoughts from playing. So far, all I've got is that it's quite dull and janky.",0
full cheaters unplayable,0
"To set the record straight on the current state of the PUBG community and ranked matches. There are players who consistently rank in the TOP 50 every season in the Survivor tier, named Tajik_AgresoR and Akai_AJ. These players regularly play with Tier 1/2 accounts, which get banned immediately after being reported. Today, these players played with Juanito_ and 2Speed4U. Immediately after my report, both players were banned. However, these ""Survivors"" managed to play 8 matches with them. It’s clear they have many accounts through which they get boosted using cheats, but this is too much. A huge number of players are doing this, and PUBG ranked matches are unplayable because of it. Honorable mentions for players who also do this and aren’t punished for it: LEBANON_forameh and his LEBANON CLAN, CN1 CLAN, MEC CLAN, XAOC CLAN. PLEASE, PUBG COMMUNITY, START ADDRESSING THIS AND REPORTING IT.",0
"i sold my soul to play this ♥♥♥♥♥♥♥ game
make sure to turn down your graphics settings its really bad",0
"I’ve been having a fantastic time with PUBG. The fact that it’s now free-to-play is honestly outstanding—it makes such a high-quality battle royale accessible to everyone. The graphics still hold up really well, and the atmosphere across the maps feels immersive and intense.

Gameplay-wise, it’s exactly what you want: tactical, rewarding, and punishing in the right ways. Gunplay feels solid, and every match has that classic PUBG tension where one mistake can cost you everything.

As a newer player (and I’d say a fairly capable one), my only real issue has been with teammate matchmaking. It can be a bit hit and miss—sometimes you get a great squad, other times it feels completely unbalanced. That said, when the team clicks, the experience is top-tier.",1
"this game is absolutely amazing. i have never played a souls games before and one day i was thinking why does everyone LOVE eldenring so much? the curiousity got the best of me and i am so glad i finally tried it out!! i finished the game last year and i am still thinking about replaying it whenever i find the time. playing this game definitely became such a fond memory of mine, especially with the person i played with.
the art direction really did an amazing job as well!! such a breathtaking game. 10000/10",1
"now days you cant truly play its all about logging into rockstar launcher and some time it take 10 or 20 minutes just to log into the launcher, when do log then the game start running, and if you are modding just forget about.",0
One of the best games ever made and a fitting end to an era,1
"This is one hard game!!!!!! Fun though. Wicked fun, some would say, if one were in Boston.",1
"i could have mastered some usefull skill, instead ive become addicted to suffering",0
MY HUSBAND GOES TO THE MINES WHILE I FISH THIS GAME IS AWESOME 1000000/10,1
GIVE ME THE ♥♥♥♥♥♥♥ SHROOMERANG,0
"trash game,too many technical difficulties ,cant even reconnect to a match .",0
Don't abbreviate Cyberpunk,1
♥♥♥♥ YOU FACEPUNCH YOU ♥♥♥♥♥♥♥ INCELS,0
Love the ammo mag change,1
"WHY DOES NO ONE I TELL TO PLAY THIS GAME ACTUALLY PLAY THIS GAME THEY JUST RUN STRAIGHT TO GODRICK AND THEN SAY IT WAS BORING OR HAD NOTHING TO DO ARE WE SO SERIOUS BRO AND THEY TAKE LIKE 15 HOURS TO KILL HIM AND WONDER WHY THEY GET SO BORED LIKE LITERALLY JUST EXPLORE AND NOT JUST SLAM YOUR HEAD AGAINST THE FIRST MAJOR BOSS WHILE UNDERLEVELED NOT EVEN KNOWING WHAT YOUR STATS DO. anyway, amazing game 11/10 couldn't recommend it any more please please please just play the game and explore and learn the mechanics before complaining about any aspect of the game other than like the tree sentinel slam hitboxes those are pretty bad sometimes but also he's literally the most optional of optional bosses so like just come back later.",1
Where the hell did I get shot from?,1
good game but unban me plsssssssssssssssssssssssss im not hack broooooooooooooooooooooo go chack rn,1
"SOOOO relaxing, planning to play it on the deck",1
idk where to go so bad,0
"The soundtrack, the gameplay, the story, this game really has it all. My favourite game of all time.",1
"Sat an hour waiting for my friends to make a server but never did.
Hit that like or award and tell me it's worth playing in singleplayer so i can suffer properly alone.",1
"Idk i feel like it
 YA",1
The anti cheat will ban you for no reason,0
"As a casual gamer, it took me a long time to love Elden Ring, but once I did, I absolutely understood why it has such a good reputation. It's blown me away and now I can't go a day without playing Elden Ring!",1
Molotov in a smoke? are you ♥♥♥♥♥♥ dizzy blud,0
9 years into dev still bugged it takes 3 tries to even opn the game,0
"Long story short that was gorgeous 9/10. I've downloaded it a few years ago from pirate site and now i bought full version with dlc. Thats telling a lot. ""CD Project Red"" Company which gives you product you'll still want to buy even when its free. Awesome atmosphere and story, one of the games in which i want to come back later. Not perfect but you'll fall in love",1
"greatest valve game series next to half life and portal (l4d also)
can talk ♥♥♥♥ and say whatever like it was 2013

learning to aim good is a curve, more fun with friends then alone",1
Its a reallly good game loveing it alot especially the online mode tooo much fun,1
to many cheaters does not get banned they get cooldown people who run game retarded,0
you have to be 5'2 430 and do nothing all day to actually play the game,0
my sanity is slipping!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,1
"loaded in at 2 fps then got r@ped by wolfs in a gang bang, spawned again and was killed by a neranderthal sitting on his roof",0
"Still lots of hackers years later. Thought it would be older than 9 years old considering I was around when it first came out. Janky but fun. Beginning of the battle royale genre. Cosmetics are crazy expensive. Still enough players to jump back into it a full game even after all these years. Lots of issues running it, crashes, game not opening etc lots of errors.",1
"Try finger, but hole! Game preforms pretty good unless raytracing is on because it is horribly optimized in this game. Playing with some quality of life mods on your 2nd or 3rd playthrough is definitely worth it (such as ""Map for goblins""). 

Get Gud.",1
Wenn man eine mission fertig hat weiss man eif nd wie es weiter geht... W game,1
I regret this purchase.,0
"this is super fun, like fortnite but better",1
Way to many smurfs and cheaters.,0
"Rockstar doesn't care about its Linux customers, sold me a game with online credits I can never use.",0
this is a chill game that i honestly think you should play.,1
"A pereft game.

it hav beautiful graphic. beautiful combat. and it likje elden ring nightreign, but with solo dolo.

and if u realy want a goud time. u can aslo play a co op. many gret weppon to enjoy. an it is havig amezing dlec. so basicaly, enjoy it hwhle it liast.",1
My friends bully me in customs. :(,0
good game and good for play in free time,1
bad game wouldn't recommend,0
"The most complex, in-depth, open realistic sim RPG worlds I ever played... and I have done many of them. THAT being said, IF you use mods and take time to learn the game mechanics, you may enjoy this game so much more. I am 249 hours in, and like most open world RPGs, I have stayed away from most main quests and just immersed in the world... downside, with mods, expect crashes now and then.. save often, manually. Recommend jetpack mod, and every immersion and life-sim mods you can get, and load them manually, it's easy. Avoid Vortex, it will make a mess. Have fun!",1
someone in my lobby did a money drop i left eh lobby and the next day my account was banned for a month got back on today to find my whole account wiped for nothing they cant fix their game so they punish people for doing nothing i left and still got banned 1600 hours gone worst game ever this is the 2nd time this has happened never play this game,0
This game makes me wanna geld myself,0
"Kill stuff, lots of stuff.  Much fun.",1
"its a fabulous game as per graphics, but custom rooms and ranked matches are paid 12 dollars,, very disappointing...",0
Ammo clip update is THE WORST thing this game has ever put out. The devs seem determined to run this game into the ground.,0
"A very wholesome game, that I have been playing it for years. One of my all time favourites. It has certain elements that remind me of farmville and minecraft but with a nice storyline and lots of different characters to connect with. The best thing about this game is that you can play both as a single player but also in co-op. It's super fun to play with your friends! I also love that the creator keeps adding to the game and shows a lot of appreciation for the game's loyal fanbase.",1
very sigma game i recommend,1
absolute great game and really fun with mods,1
good game runs max settings in 4k with samsung odyssey g7 ultrawide,1
im jk this game is cool,0
The best game i ever played,1
full with cheaters . ty,0
she elden on my ring,1
This game is too complicated and kinda boring,0
Ahhh their are too many cheaters,1
This is an adventure game cosplaying as a combat game,0
csgo is better #valveontop,0
Thanks for letting me know about the Level 80 Ranked requirement AFTER I paid for the PLUS upgrade. Literally zero transparency. Refused to give my money back. Keep the money if you're that desperate.,0
This game is full of small little details i have been doing all of the side quests possible and i dont think i am even a quate way through. if you like content this is a game for you,1
"No competition, the greatest game ever made.",1
"I got placed in a bot lobby twice  in a row, and to be honest I'm sure that's better then playing against what appears to be a rampant cheater problem.",0
"Wake up Samurai, we've got a city to burn.",1
So much content for the price. Seriously one of the best games ive ever played.,1
i like it abd i want rockstar give me gta VI free =))),1
"Spent way too much time on this game where cheater is present in every 3rd squad. Game devs care about skins, but not about getting cheaters out of the game. Uninstall, since it is not worth your time and effort.",0
"Drake makes this game very difficult to enjoy and would maybe recommend the game, however i do not recommend playing this game with drake.",0
used to play this 9 years ago STILL SLAMS. Legit game Very satisfied this is still going strong in 2026.,1
♥♥♥♥♥♥♥ game crashes my whole computer every time i turn this stupid piece of ♥♥♥♥ game.,0
This isn't a game. It's just a giant cut-scene.,0
A derivative game in many ways with systems that aren't really good or meaningful.,0
i ripped off my homies toe nails after our base got raided,1
"God, I've dropped so many more hours into this than I had thought

It's just straight up incredible. Not my fave FromSoft game, but certainly one of the absolute best

Let's be real, this review is a formality",1
"Game will literally not load any server. Hangs on Receiving Data. It's supposedly a DX11 issue, I'm not reinstalling my graphics driver for this... That is such a BS fix. The issue is Unity is a toaster of an engine, and Nvidia stopped caring about the consumer market. RIP this game for me. I haven't played this in a long while, so it was a fresh install.",0
I find it completely relaxing. That's why I keep coming back.,1
The ammo change is the worse than the game being full of cheaters,0
i liked the missions and girls,1
Movement speed is too slow,0
Trash ass game can't even aim in. Even paying for premium doesn't get rid of blatent cheating. I would refund but not allowed.,0
really horrid community what can I say,0
I've only played 20 hours and this game is beutiful! The color vibrance is insane and the difficulty makes the game actuall fun instead of games like bluey and friends. GET THE GAME!!!,1
"the 5 stages of CS, Fun, Sad, Rage, Fun, Garbage. no in between :D",1
ts might be one of the worst games oat,0
"I grew up playing Counter-Strike 1.3, 1.5, 1.6, and Source. I also played Global Offensive.
I loved playing CS back when you could install your own weapon skins for free and choose your own tags for free.
It has been years since then and I am trying to get used to the game again. I have been playing COD and BF. So it is very hard to relearn the game.
That being said, I LOVE THIS GAME STILL.
I just wish I had enough money to be as addicted to the cases as I am. I have only opened maybe 7.
Also I don't think you should have to purchase the cases AND the keys. The cases should be free once in a while when you level up OR should have to buy the cases, but once you purchase them you should be able to open them!
IT JUST SEEMS LIKE A RIP OFF MAN.
Other than that I really don't have any complaints. It's a fun game. It definitely takes practice though.",1
SKURVENEEEEE CINSKE DETI,0
garbage. full of straight up nazis hurling slurs the entire game. genuinely not fun to play,0
gud game ive  played 12 hours in 1 day,1
"extremly laggy, froze every singular secound",0
almoost beginner friendly extremely fun once u get geared 10/10 recommeded,1
"21:9 screen suport is kinda bad in this game.
Graphics and animations are terrible",0
just a wonderful game,1
most ♥♥♥♥♥♥ game experience you can get bad fps even with my machine specs look below 90fps ♥♥♥♥ box of a game have mose settings in low and just plain ♥♥♥♥♥♥ experience ever one can get fck this game and all its players,0
Never play the game finally decide to play with my friends for like 30 mins my friends give me a gun we go kill 2 people mind you I barely fought the people they killed then we get 3rd partied get some shots off don't kill the guy a few days later I'm perm banned from the game for cheating,0
"The immersive experience is goated, only qualms are with the difficulty scaling. Devs decided to make the harder difficulty enemies just have higher health and damage, which makes the game more tedious than engaging. Lil bit of mods will fix that tho",1
i first started playing stardew valley on my kindle fire in 2019. I'm so glad i kept playing after all of this time; it is such a fun and aesthetically pleasing game!!,1
"terrible.
got a random EAC 3 day suspension after picking up a dropped green tea
wanted to like this game so bad",0
The best FPS game out there,1
I like gettin RUSTYYYYY,1
its fun (dont fall for it),1
recoil is on next level -,1
Amazing game and great graphincs,1
"♥♥♥♥♥♥♥♥ on pc better on console,",0
filled with cheaters. like cod....,0
"game wont start just loading and i mod this without battleye enables what a joke sort the game 
out i  use menyoo 2.0 open IV and script hook v",0
cheaters and developers ruined this game :(,0
"Elden Ring is not a masterpiece like everyone says. It's a journey of challenging highs and frustrating lows. 

It's your typical From-Software Dark Souls game. Just with a different coat of paint, and an open world to explore.

If you buy this game, you should know what you're getting into. It is a hard game. I'm mixed on this entry. 
I feel like some of the bosses and enemies are just overtuned.

A lot of these bosses have crazy combo chains that vary too much for me to keep track of. Lots of delayed moves and odd approach angles. Once I lose enough. I just give up and go explore instead.  Usually I come back when feel I've gotten stronger and have better gear/upgrades.

Kinda how it works. It's not a fun feeling dying a ton and losing all your runes until you improve. Unfortunately. This is a souls standard. If you have to. Summon help. Again. Casuals beware. 
This game will cook you until you cook it.


That's gonna put a lot of people off. I'm a casual. I don't enjoy souls style games, but I wanted to see if I stood a chance in Elden Ring.  On sale, of course. Under $40. Purchased elsewhere.

 I'm not paying $70 to be mad all day. As  for performance? It runs like garbage without serious setting tweaks on the Steam Deck. So get it on a main rig if you can.

Can't reccomend for casuals. Can reccomend for people who like or are familar with souls style games.",0
"Go outside. Please, we can smell you THROUGH OUR SCREENS",0
i played one comp game got my ip leaked by a Russian who listens to sematary watches gore and drinks vodka and he also swatted my house for beating him and he killed my family,0
TRASH WITH TOXIC EVERYBODY,0
"tough af but sometimes when you find the mood to just explore stuff, you'll find the strength you need to move forward",1
super fun!! very cosy i just love the overall vibe of this game,1
"Good game, but it is very minecraft like, the mechanics are good, but the way you progress and get items is unintuitive, and you do not know much of what to do",0
"When the game was early access, it was far more outstanding",0
gay people real. I like Harvey,1
300 hours of suferig and mental damege 4 hours of fun not a worthy trade 0 hours of sleep,0
its a good game lots of bosses easy,1
Коды на лайве были в малом ограниченном количестве - бред,0
